RTX,Feature bin,Peak Da,Brx_Semana 1_CODE_I,Chx_Semana 1_CODE_I,Clx_Semana 1_CODE_I,Fax_Semana 1_CODE_I,GU_Semana 1_CODE_I,GUx_Semana 1_CODE_I,Medio Br_Semana 1_CODE_I,Medio Br_Semana 2_CODE_I,Medio Br_Semana 3_CODE_I,Medio Ch_Semana 1_CODE_I,Medio Ch_Semana 2_CODE_I,Medio Ch_Semana 3_CODE_I,Medio Cl_Semana 1_CODE_I,Medio Cl_Semana 2_CODE_I,Medio Cl_Semana 3_CODE_I,Medio Fa_Semana 1_CODE_I,Medio Fa_Semana 2_CODE_I,Medio Fa_Semana 3_CODE_I,Medio Sc_Semana 1_CODE_I,Medio Sc_Semana 2_CODE_I,Medio Sc_Semana 3_CODE_I,Scx_Semana 1_CODE_I,Brx_Semana 1_CODE_S,Chx_Semana 1_CODE_S,Clx_Semana 1_CODE_S,Fax_Semana 1_CODE_S,GU_Semana 1_CODE_S,GUx_Semana 1_CODE_S,Medio Br_Semana 1_CODE_S,Medio Br_Semana 2_CODE_S,Medio Br_Semana 3_CODE_S,Medio Ch_Semana 1_CODE_S,Medio Ch_Semana 2_CODE_S,Medio Ch_Semana 3_CODE_S,Medio Cl_Semana 1_CODE_S,Medio Cl_Semana 2_CODE_S,Medio Cl_Semana 3_CODE_S,Medio Fa_Semana 1_CODE_S,Medio Fa_Semana 2_CODE_S,Medio Fa_Semana 3_CODE_S,Medio Sc_Semana 1_CODE_S,Medio Sc_Semana 2_CODE_S,Medio Sc_Semana 3_CODE_S,Scx_Semana 1_CODE_S
RT023,1231,5693,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
RT023,1322,5966,0.0,-1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
RT023,1437,6311,0.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
RT023,1698,7094,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT023,1926,7778,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
RT023,1927,7781,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
RT023,1928,7784,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
RT023,3543,12629,0.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
RT027,118,2354,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT027,153,2459,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
RT027,154,2462,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
RT027,237,2711,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0
RT027,325,2975,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
RT027,759,4277,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0
